userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
94,94,Il mondo di Apu,-1998,149 min,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
95,95,Dhool Ka Phool,-2018,,Drama,,,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan
97,97,Fiori di carta,-2018,,Drama,,,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami
99,99,Neel Akasher Neechey,-2017,130 min,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
100,100,Sujata,,,War,,,Rajkumar Santoshi,Randeep Hooda,Vikramjeet Virk,Nitin Chauhan
105,105,Bombai Ka Babu,-2018,124 min,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
109,109,Barsaat Ki Raat,-1979,121 min,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
110,110,Chaudhvin Ka Chand,-2019,126 min,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
113,113,Chhalia,-2002,188 min,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
114,114,La dea,-1998,,Thriller,,,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal
116,116,Jis Desh Men Ganga Behti Hai,-1951,,,7.6,5,Chitra Mitra,,,
117,117,Kala Bazar,-1956,,,6.6,7,Ramesh Saigal,Ajit,,
118,118,Kanoon,-1956,,Drama,,,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra
119,119,Kohinoor,-2008,,Drama,3.1,32,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla
120,120,Kshudhita Pashan,-1974,115 min,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
121,121,La stella nascosta,-2014,103 min,"Horror, Romance",5,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
125,125,Gunga Jumna,-2012,114 min,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
126,126,Junglee,-2020,,Comedy,,,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz
128,128,Kabuliwala,-2003,115 min,"Crime, Drama",7.8,"2,322",Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
129,129,Komal Gandhar,-2019,122 min,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
132,132,Saptapadi,-2009,170 min,"Comedy, Drama",8.4,"3,57,889",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
133,133,Teen Kanya,-2009,,"Drama, Romance",5.2,23,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
134,134,Abhijaan,-2020,,Comedy,,,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee
137,137,Baat Ek Raat Ki,-2018,100 min,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
142,142,Bees Saal Baad,-2015,99 min,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
143,143,Half Ticket,-2004,,Horror,5,14,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
146,146,Kanchenjungha,-2016,,Thriller,4.8,26,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
147,147,Professor,-2015,109 min,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
148,148,Sahib Bibi Aur Ghulam,-2009,,Thriller,4.6,9,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
149,149,Subarnarekha,-2006,140 min,"Comedy, Mystery, Thriller",5.7,"4,373",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
150,150,Bandini,-1981,122 min,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
151,151,Dil Hi To Hai,-1974,,"Action, Crime, Drama",6.7,128,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
153,153,Gumrah,-2020,128 min,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
156,156,Il capo famiglia,-2019,93 min,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
160,160,Mahanagar,-1985,102 min,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
167,167,Taj Mahal,-2013,125 min,"Horror, Sci-Fi, Thriller",3.6,"1,128",Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
169,169,Tere Ghar Ke Samne,-2019,145 min,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
173,173,La moglie sola,-2016,,Horror,,,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan
175,175,Kashmir Ki Kali,,96 min,"Crime, Drama, Thriller",,,Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke
176,176,Kohraa,-2011,121 min,"Drama, Mystery, Thriller",7.3,"2,548",Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
178,178,Leader,-2016,75 min,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
179,179,Sangam,-2009,,"Drama, Sport",3.9,14,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
180,180,Arzoo,-2012,113 min,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
181,181,Chemmeen,-2011,115 min,Sport,,,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma
182,182,Kapurush,-2012,111 min,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
184,184,Khandan,-1974,134 min,"Action, Comedy",6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
186,186,Mahapurush,-2001,,Action,,,Hemant Birje,Anu Kashyap,Raza Murad,Paintal
192,192,Shakespeare-Wallah,-2018,,,,,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,
197,197,Waqt,-2007,,"Comedy, Thriller",6.5,82,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
198,198,Amrapali,-2002,,Thriller,,,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan
199,199,Dil Diya Dard Liya,-2011,110 min,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,Akash,Avinash,Gagan
201,201,Mamta,-1967,,,5.4,5,Mani Kaul,,,
203,203,Mera Saaya,-2020,85 min,Documentary,,,Kovid Mittal,Kovid Mittal,,
207,207,Nayak,-2002,,Thriller,,,Hemant Birje,Ankush Mohite,Kirti Rawal,
212,212,Suraj,-2014,104 min,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
213,213,Teesri Kasam,-2007,92 min,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
214,214,Teesri Manzil,-2011,96 min,Comedy,,,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,
216,216,Chiriyakhana,,,"Drama, Romance, Thriller",,,Samir Khan,,,
217,217,Hamraaz,-2005,136 min,"Comedy, Drama",5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
218,218,Jewel Thief,-1988,126 min,Action,5,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
219,219,Milan,-1995,,"Action, Drama",3.4,10,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill
220,220,Ram Aur Shyam,-2016,115 min,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
221,221,Aadmi,-2006,100 min,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
224,224,Diwana,-2011,137 min,"Drama, Mystery, Thriller",6.1,"5,640",Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
226,226,Padosan,-1987,127 min,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
229,229,Sadhu Aur Shaitaan,-2019,120 min,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
236,236,Bhuvan Shome,-2019,130 min,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
239,239,Do Raaste,,136 min,"Adventure, Comedy, Drama",,,Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri
242,242,Il guru,-2018,125 min,Horror,,,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit
243,243,Ittefaq,-2008,,Mystery,,,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika
247,247,Saat Hindustani,-2009,122 min,"Action, Fantasy, Mystery",5.4,"5,459",Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
253,253,Talash,-2021,115 min,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
255,255,Aradhana,-2021,150 min,"Biography, Drama, History",,,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin
257,257,Giorni e notti nella foresta,-2003,119 min,"Mystery, Thriller",4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
260,260,Kati Patang,-2017,124 min,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
264,264,Mera Naam Joker,,,Adventure,,,Virendra Rathore,,,
270,270,Pratidwandi,-2011,115 min,"Drama, Musical, Thriller",,,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.
271,271,Prem Pujari,-2009,135 min,"Comedy, Crime, Drama",7.3,"2,767",Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
275,275,Uski Roti,-2019,128 min,"Musical, Romance",7.4,"1,901",Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
277,277,Amar Prem,-2005,90 min,"Crime, Drama",4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
280,280,Anand,-2016,86 min,"Documentary, Music",,,Sarvnik Kaur,Tushar Madhav,,
281,281,Andaz,-2016,86 min,"Documentary, History, Music",,,Sarvnik Kaur,Tushar Madhav,,
282,282,Calcutta 71,-2016,105 min,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
285,285,Caravan,-2019,,Drama,,,Sarkar Sahith,Suman Rana,Hari Vishnu,
293,293,Guddi,-2016,76 min,"Drama, Fantasy, Mystery",,,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava
297,297,Haré Rama Haré Krishna,-2021,,Thriller,,,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj
299,299,Interview,-2014,,"Drama, Family, Sport",,,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain
302,302,Mere Apne,-2017,145 min,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
304,304,Pakeezah,-2016,110 min,"Drama, Thriller",7.5,"4,637",Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
305,305,Parwana,-2016,70 min,Documentary,,,Rupak Das,,,
307,307,Reshma Aur Shera,-2015,72 min,"Documentary, Biography",7.7,10,Sruti Harihara Subramanian,,,
323,323,Seemabaddha,-2005,150 min,"Horror, Mystery",6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
324,324,Sharmeelee,-2010,103 min,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
326,326,Tere Mere Sapne,-2016,151 min,"Action, Adventure, Comedy",3,"4,145",Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
333,333,Bawarchi,-2020,109 min,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
334,334,Bombay to Goa,-2017,145 min,"Action, Comedy",6.2,"5,227",Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
335,335,Mere Jeevan Saathi,-2019,95 min,"Drama, Romance",8,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
336,336,Sanjog,-1959,92 min,Drama,,,Mehboob Khan,,,
346,346,Abhimaan,-2013,127 min,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
350,350,Anamika,-1996,52 min,Documentary,6.4,7,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,
351,351,Tuono lontano,-2021,,Thriller,,,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil
361,361,Bobby,-2013,140 min,Romance,6,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
362,362,Duvidha,-1970,,Drama,,,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev
364,364,Gehri Chaal,-2019,75 min,"Crime, Drama",,,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,
367,367,Jugnu,-2020,89 min,Documentary,6.8,15,Cristina Hanes,Isabella Rinaldi,Arya Rothe,
368,368,Namak Haraam,-2016,112 min,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
370,370,Padatik,-2021,,Drama,,,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das
371,371,Saudagar,-1997,,Thriller,,,Vinod Alva,Kalyan Kumar,Raghuvaran,
373,373,Siddhartha,-1976,,Documentary,,,Fali Bilimoria,,,
374,374,Titas Ekti Nodir Naam,,,"Comedy, Drama, Music",,,Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,
375,375,Yaadon Ki Baaraat,-2000,,Thriller,,,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri
376,376,Catena,-2011,,Drama,3.8,15,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
378,378,27 Down,-2005,143 min,"Drama, Romance",3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
379,379,Ankur,-2017,90 min,Documentary,6.9,337,Sarita Khurana,Smriti Mundhra,Sima Taparia,
382,382,Benaam,-2019,104 min,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
385,385,Dost,-2021,,"Drama, Thriller",,,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia
386,386,"Jukti, Takko Aar Gappo",-2002,,Documentary,6.9,8,Goutam Ghose,,,
387,387,Kasauti,-2017,110 min,"Comedy, Horror, Mystery",,,Kashmera Shah,Kashmera Shah,,
388,388,Kunwara Baap,-2008,104 min,"Action, Crime, Drama",8.1,"75,118",Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
392,392,Majboor,-2017,,Musical,,,Deepak Gattani,A.R. Rahman,,
395,395,Manoranjan,-1999,177 min,"Musical, Romance, Drama",5.5,"1,621",Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
396,396,Prem Nagar,-2018,121 min,Drama,8,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
397,397,Rajnigandha,-2021,140 min,"Family, Romance",,,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag
401,401,Roti Kapada Aur Makaan,-2009,117 min,"Action, Sci-Fi, Thriller",5,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
408,408,Sonar Kella,-1973,148 min,"Action, Drama, Romance",7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
410,410,Chhoti Si Baat,-1994,158 min,"Mystery, Romance",4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
413,413,Chupke Chupke,-2017,123 min,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
416,416,Deewaar,-2016,120 min,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
426,426,Dharam Karam,-1999,,Action,4.9,28,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
427,427,Faraar,-2004,144 min,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
428,428,Garm Hava,-1956,,Romance,,,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri
429,429,Hera Pheri,-1968,170 min,"Comedy, Crime, Drama",5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman
435,435,Jai Santoshi Maa,-1943,,,5.2,5,Nazir,,,
436,436,Khel Khel Mein,-1953,,"Drama, Romance",5,5,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
437,437,Mili,-1943,,,5.2,5,V.C. Desai,Nalini Jaywant,Mukesh,
439,439,Nishant,-2007,104 min,,,,Sanjay Punjabi,,,
441,441,Prem Kahani,-1986,,Action,5.5,6,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
444,444,Rikki Tikki Tavi nella giungla,-2018,72 min,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
446,446,Sholay,-2002,,Action,,,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori
447,447,Zameer,-2020,,Family,,,Prashant Kumar,,,
449,449,Do Anjaane,-1983,,Drama,,,,,,
451,451,An Evening in Paris,-1989,,,,,Dev Malhotra,Madhuri Mishra,Ashok Pandey,Reema Raj
452,452,Jana Aranya,-1982,105 min,"Action, Crime, Drama",5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
458,458,Kabhie Kabhie,-1977,132 min,Action,5.1,18,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
459,459,Manthan,-2019,107 min,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
460,460,Mrigayaa,-2004,,Drama,,,Shorya Veer Saagar,Saurabh Agnihotri,Aryan Harnot,Pooja Raawat
462,462,Nagin,-1982,154 min,Drama,6.4,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
466,466,Adalat,-1996,,Drama,,,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit
472,472,Alaap,-2013,157 min,"Action, Crime, Thriller",5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
473,473,Amar Akbar Anthony,-1990,88 min,Documentary,,,Dilip Ghosh,,,
475,475,Bhumika,-1991,,,6.2,9,Apurba Kishore Bir,Mohan Gokhale,Neena Gupta,Ashok Kumar
479,479,Ghatashraddha,-1957,,,,,Chandrakant,,,
480,480,Hum Kisise Kum Naheen,-1950,115 min,"Drama, Romance",6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
481,481,Immaan Dharam,-1999,,Horror,,,Hriday Shankar,Manoj Bakshi,Satyendra Kapoor,Satnam Kaur
482,482,Khoon Pasina,-1957,,Drama,,,Chandrakant,Prem Adib,Master Bhagwan,Daisy Irani
484,484,Parvarish,-1986,,Thriller,,,V. Menon,Aparajita,Abhi Bhattacharya,Sargam
485,485,Shatranj Ke Khilari,-1992,,Action,,,Govind Singh,Raza Murad,Yunus Parvez,
