Movie_id,Movie_Title,Released_Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
69,Harano Sur,-1974,115 min,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
70,Madhumati,-2014,103 min,"Horror, Romance",5,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
71,Nau Do Gyarah,-2012,114 min,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
73,Naya Daur,-2003,115 min,"Crime, Drama",7.8,"2,322",Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
74,Paying Guest,-2019,122 min,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
75,Pyaasa,-2009,170 min,"Comedy, Drama",8.4,"3,57,889",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
78,Tumsa Nahin Dekha,-2018,100 min,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
79,Ajantrik,-2015,99 min,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
82,Bari Theke Paliye,-2015,109 min,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
84,Howrah Bridge,-2006,140 min,"Comedy, Mystery, Thriller",5.7,"4,373",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
85,Jalsaghar,-1981,122 min,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
87,Kala Pani,-2020,128 min,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
88,Parash Pathar,-2019,93 min,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
89,Solva Saal,-1985,102 min,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
90,Yahudi,-2013,125 min,"Horror, Sci-Fi, Thriller",3.6,"1,128",Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
91,Anari,-2019,145 min,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
94,Apur Sansar,-2011,121 min,"Drama, Mystery, Thriller",7.3,"2,548",Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
95,Dhool Ka Phool,-2016,75 min,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
97,Kaagaz Ke Phool,-2012,113 min,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
99,Neel Akasher Neechey,-2012,111 min,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
100,Sujata,-1974,134 min,"Action, Comedy",6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
105,Bombai Ka Babu,-2011,110 min,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,Akash,Avinash,Gagan
109,Barsaat Ki Raat,-2014,104 min,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
110,Chaudhvin Ka Chand,-2007,92 min,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
113,Chhalia,-2005,136 min,"Comedy, Drama",5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
114,Devi,-1988,126 min,Action,5,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
116,Jis Desh Men Ganga Behti Hai,-2016,115 min,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
117,Kala Bazar,-2006,100 min,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
118,Kanoon,-2011,137 min,"Drama, Mystery, Thriller",6.1,"5,640",Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
119,Kohinoor,-1987,127 min,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
120,Kshudhita Pashan,-2019,120 min,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
121,Meghe Dhaka Tara,-2019,130 min,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
125,Gunga Jumna,-2009,122 min,"Action, Fantasy, Mystery",5.4,"5,459",Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
126,Junglee,-2021,115 min,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
128,Kabuliwala,-2003,119 min,"Mystery, Thriller",4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
129,Komal Gandhar,-2017,124 min,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
132,Saptapadi,-2009,135 min,"Comedy, Crime, Drama",7.3,"2,767",Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
133,Teen Kanya,-2019,128 min,"Musical, Romance",7.4,"1,901",Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
134,Abhijaan,-2005,90 min,"Crime, Drama",4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
137,Baat Ek Raat Ki,-2016,105 min,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
142,Bees Saal Baad,-2017,145 min,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
143,Half Ticket,-2016,110 min,"Drama, Thriller",7.5,"4,637",Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
146,Kanchenjungha,-2005,150 min,"Horror, Mystery",6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
147,Professor,-2010,103 min,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
148,Sahib Bibi Aur Ghulam,-2016,151 min,"Action, Adventure, Comedy",3,"4,145",Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
149,Subarnarekha,-2020,109 min,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
150,Bandini,-2017,145 min,"Action, Comedy",6.2,"5,227",Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
151,Dil Hi To Hai,-2019,95 min,"Drama, Romance",8,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
153,Gumrah,-2013,127 min,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
156,The Householder,-2013,140 min,Romance,6,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
160,Mahanagar,-2016,112 min,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
167,Taj Mahal,-2005,143 min,"Drama, Romance",3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
169,Tere Ghar Ke Samne,-2019,104 min,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
173,Charulata,-2008,104 min,"Action, Crime, Drama",8.1,"75,118",Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
175,Kashmir Ki Kali,-1999,177 min,"Musical, Romance, Drama",5.5,"1,621",Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
176,Kohraa,-2018,121 min,Drama,8,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
178,Leader,-2009,117 min,"Action, Sci-Fi, Thriller",5,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
179,Sangam,-1973,148 min,"Action, Drama, Romance",7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
180,Arzoo,-1994,158 min,"Mystery, Romance",4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
181,Chemmeen,-2017,123 min,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
182,Kapurush,-2016,120 min,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
184,Khandan,-2004,144 min,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
186,Mahapurush,-1968,170 min,"Comedy, Crime, Drama",5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman
192,Shakespeare-Wallah,-2018,72 min,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
197,Waqt,-1982,105 min,"Action, Crime, Drama",5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
198,Amrapali,-1977,132 min,Action,5.1,18,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
199,Dil Diya Dard Liya,-2019,107 min,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
201,Mamta,-1982,154 min,Drama,6.4,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
203,Mera Saaya,-2013,157 min,"Action, Crime, Thriller",5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
207,Nayak,-1950,115 min,"Drama, Romance",6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
212,Suraj,-1968,175 min,"Drama, Romance",6.8,196,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
213,Teesri Kasam,-1993,153 min,"Action, Crime, Drama",6.5,97,Arshad Khan,Ajit,Vikas Anand,Arjun
214,Teesri Manzil,-1991,142 min,Fantasy,6.7,66,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
216,Chiriyakhana,-1969,168 min,"Drama, Romance, Thriller",6.2,149,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
217,Hamraaz,-1993,158 min,"Drama, Romance",5,142,J. Om Prakash,Jeetendra,Reena Roy,Govinda
218,Jewel Thief,-2009,78 min,Drama,7.6,62,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi
219,Milan,-1977,138 min,"Drama, Family",5.4,34,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera
220,Ram Aur Shyam,-2016,145 min,Horror,4.2,266,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri
221,Aadmi,-1977,148 min,"Crime, Drama",5.3,17,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.
224,Diwana,-1948,138 min,"Musical, Romance",7.4,357,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana
226,Padosan,-1994,139 min,"Action, Comedy, Drama",4.6,227,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre
229,Sadhu Aur Shaitaan,-1994,133 min,Action,4.1,13,Kanti Shah,Alpana,Aparajita,Asrani
236,Bhuvan Shome,-1987,170 min,Action,5.3,93,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee
239,Do Raaste,-1990,180 min,"Action, Drama",4.8,101,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh
242,The Guru,-1993,137 min,Action,4.8,21,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani
243,Ittefaq,-1988,138 min,"Action, Thriller",3.4,7,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi
247,Saat Hindustani,-1989,151 min,Action,5,52,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor
253,Talash,-2001,78 min,Horror,3.1,7,A.T. Joy,Lekha Pande,Vimal Raj,Shakila
255,Aradhana,-2009,117 min,"Comedy, Crime, Drama",5,381,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra
257,Aranyer Din Ratri,-2000,153 min,"Action, Crime, Drama",4.2,274,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar
260,Kati Patang,-1953,150 min,"Drama, Musical, Romance",7.2,275,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi
264,Mera Naam Joker,-1978,135 min,"Action, Drama",6,25,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan
270,Pratidwandi,-1993,149 min,"Drama, Romance",6,448,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh
271,Prem Pujari,-1977,150 min,Drama,6.8,94,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal
275,Uski Roti,-1987,116 min,Drama,5.5,281,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran
277,Amar Prem,-1963,144 min,"Drama, Romance",5.6,52,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda
280,Anand,-2003,46 min,Action,3.1,15,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali
281,Andaz,-1990,164 min,"Action, Crime, Drama",4.7,586,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar
282,Calcutta 71,-1985,153 min,"Action, Drama",5.1,40,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy
285,Caravan,-1992,147 min,"Action, Thriller",5.3,144,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar
293,Guddi,-1976,170 min,"Action, Romance",3.5,23,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet
297,Haré Rama Haré Krishna,-2000,128 min,"Action, Crime",4.3,31,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan
299,Interview,-1991,123 min,"Action, Romance",3.1,14,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor
302,Mere Apne,-1984,157 min,"Action, Drama",5.8,65,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma
304,Pakeezah,-1988,128 min,"Action, Drama",5,26,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh
305,Parwana,-1990,132 min,Action,3.3,15,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday
307,Reshma Aur Shera,-1984,137 min,"Action, Drama, Crime",5.6,79,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan
323,Seemabaddha,-1993,162 min,Romance,4.4,30,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor
324,Sharmeelee,-2007,137 min,"Drama, Family, Music",6.2,"2,998",Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav
326,Tere Mere Sapne,-1968,121 min,"Drama, Romance",6.7,14,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma
333,Bawarchi,-1986,164 min,"Action, Crime, Drama",7.1,"1,283",Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada
334,Bombay to Goa,-1988,148 min,"Action, Thriller",5.2,78,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff
335,Mere Jeevan Saathi,-1989,149 min,"Action, Drama, Family",4.1,53,Ashim S. Samanta,Shatrughan Sinha,Moushumi Chatterjee,Govinda
336,Sanjog,-1989,120 min,"Action, Crime, Drama",5,21,Mangal Chakravarty,Tom Alter,Yogeeta Bali,Abhi Bhattacharya
346,Abhimaan,-1989,171 min,"Action, Crime, Drama",4.9,34,Shibu Mitra,Mithun Chakraborty,Sonam,Anupam Kher
350,Anamika,-1979,126 min,"Action, Thriller",6.3,7,Dinesh-Ramanesh,Ramesh Puri,Vinod Mehra,Yogeeta Bali
351,Ashani Sanket,-1966,153 min,Drama,6.9,122,Chetan Anand,Rajesh Khanna,Indrani Mukherjee,Master Bunty
361,Bobby,-1990,160 min,"Action, Romance",7.3,39,N.K. Vishwanathan,Nassar,Nirosha,Aurn Pandian
362,Duvidha,-1997,138 min,Action,2.8,17,Narendra Bedi,Vijayendra Ghatge,Kaajal Kiran,Mukesh Khanna
364,Gehri Chaal,-1975,139 min,"Drama, History, Romance",6.3,44,J. Om Prakash,Ashok Kumar,Sanjeev Kumar,Rakesh Roshan
367,Jugnu,-1980,144 min,"Crime, Drama, Music",7.9,887,Govind Nihalani,Naseeruddin Shah,Smita Patil,Amrish Puri
368,Namak Haraam,-2010,115 min,"Action, Crime, Thriller",7,"3,464",Priyadarshan,Ajay Devgn,Akshaye Khanna,Bipasha Basu
370,Padatik,-2012,116 min,Sci-Fi,5.4,26,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit
371,Saudagar,-2001,177 min,"Action, Thriller",7.2,"2,192",Suresh Krishna,Kamal Haasan,Raveena Tandon,Manisha Koirala
373,Siddhartha,-2007,152 min,Action,3,922,Chella,Ajith Kumar,Asin Thottumkal,Vivek
374,Titas Ekti Nodir Naam,-2018,107 min,"Drama, Family",7.7,72,Mrinal Sen,Saswata Chatterjee,Nandita Das,Koushik Sen
375,Yaadon Ki Baaraat,-2001,150 min,"Comedy, Drama, Family",4.8,"1,238",K. Raghavendra Rao,A.S. Ravindra Babu,Govinda,Juhi Chawla
376,Zanjeer,-2008,99 min,"Action, Crime, Drama",7.7,"10,862",Raj Kumar Gupta,Rajeev Khandelwal,Aishwarya,Vasan Bala
378,27 Down,-1967,163 min,"Crime, Mystery, Romance",6.5,81,Suraj Prakash,Shashi Kapoor,Sharmila Tagore,Prem Chopra
379,Ankur,-1982,143 min,"Action, Crime, Drama",6.4,53,Ashim S. Samanta,Mithun Chakraborty,Bindiya Goswami,Arti Gupta
382,Benaam,-1984,130 min,Drama,6.4,37,Ravi Tandon,Rishi Kapoor,Moushumi Chatterjee,Shammi Kapoor
385,Dost,-1970,177 min,"Drama, Musical, Romance",6.4,211,Mukul Dutt,Rajesh Khanna,Asha Parekh,Vinod Khanna
386,"Jukti, Takko Aar Gappo",-2004,149 min,"Action, Crime, Drama",5.7,"2,907",Madhur Bhandarkar,Akshay Kumar,Shatrughan Sinha,Sunil Shetty
387,Kasauti,-2003,160 min,Drama,5.6,102,Rajesh Ram Singh,Arun Bakshi,Suchindra Bali,Poonam Jhawer
388,Kunwara Baap,-1980,138 min,"Action, Drama, Family",6.4,58,Anil Ganguly,Rajesh Khanna,Rakhee Gulzar,Rekha
392,Majboor,-1975,133 min,"Drama, Romance",8.1,"1,406",Gulzar,Suchitra Sen,Sanjeev Kumar,Om Shivpuri
395,Manoranjan,-1985,144 min,Drama,6.1,49,Babbar Subhash,Shashi Kapoor,Hema Malini,Danny Denzongpa
396,Prem Nagar,-1952,136 min,Drama,7.4,30,Chetan Anand,Dev Anand,Nimmi,Kalpana Kartik
397,Rajnigandha,-1990,145 min,Drama,4.8,38,David Dhawan,Mumtaz,Prasenjit Chatterjee,Madhushree
401,Roti Kapada Aur Makaan,-2019,94 min,Drama,6.6,15,Fahim Irshad,Farrukh Seyer,Priyanka Verma,Neha Singh
408,Sonar Kella,-1993,170 min,"Action, Comedy, Crime",6.7,"1,898",David Dhawan,Govinda,Chunky Panday,Raj Babbar
410,Chhoti Si Baat,-2002,165 min,"Crime, Drama, Thriller",7.4,"12,574",Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Sushmita Sen
413,Chupke Chupke,-1972,154 min,"Drama, Romance",6.4,28,Raghunath Jhalani,Rakhee Gulzar,Rakesh Roshan,Achala Sachdev
416,Deewaar,-1970,150 min,"Comedy, Drama, Family",6.5,24,P. Madhavan,Hema Malini,Parikshit Sahni,Jagdeep
426,Dharam Karam,-1994,141 min,Romance,4.2,160,Ravindra Peepat,Saif Ali Khan,Shilpa Shetty Kundra,Somy Ali
427,Faraar,-2009,140 min,"Comedy, Family, Fantasy",5.1,584,Glen Barreto,Aftab Shivdasani,Aamna Sharif,Rati Agnihotri
428,Garm Hava,-1971,119 min,"Comedy, Drama, Romance",6.6,80,Mohan Kumar,Rajendra Kumar,Sadhana,Prem Chopra
429,Hera Pheri,-1976,145 min,"Drama, Family",5.7,32,Mohan Kumar,Shashi Kapoor,Hema Malini,Ashok Kumar
435,Jai Santoshi Maa,-1974,153 min,"Romance, Drama",7,420,J. Om Prakash,Rajesh Khanna,Mumtaz,Sanjeev Kumar
436,Khel Khel Mein,-1977,115 min,"Action, Comedy, Drama",6.3,27,Sudhendu Roy,Vinod Khanna,Rekha,Nadira
437,Mili,-2006,122 min,"Comedy, Romance",3.6,863,Dharmesh Darshan,Akshaye Khanna,Priyanka Chopra Jonas,Ameesha Patel
439,Nishant,-1964,128 min,"Drama, Family, Romance",6.3,39,Mohan Kumar,Dharmendra,Supriya Choudhury,Vijayalaxmi
441,Prem Kahani,-2002,180 min,"Action, Drama, Romance",3.1,"2,366",Vikram Bhatt,Hrithik Roshan,Ameesha Patel,Kiran Kumar
444,Rikki-Tikki-Tavi,-1980,145 min,"Romance, Drama, Family",5.6,38,Ambrish Sangal,Raj Babbar,Ranjeeta Kaur,Deepak Parashar
446,Sholay,-1981,148 min,"Action, Romance",5.2,17,Harmesh Malhotra,Poonam Dhillon,Raj Babbar,Shakti Kapoor
447,Zameer,-2003,145 min,"Action, Comedy, Drama",4.5,273,Anubhav Sinha,Priyanshu Chatterjee,Sakshi Shivanand,Farida Jalal
449,Do Anjaane,-1985,125 min,Action,6.1,44,Shakti Samanta,Mithun Chakraborty,Rozina,Utpal Dutt
451,An Evening in Paris,-1997,180 min,Thriller,6.1,230,Ketan Mehta,Jackie Shroff,Deepa Sahi,Ritu Shivpuri
